YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 05 01  15  3.3  4.5  2.96 20.00 10.42 999 1010.1  23.7  25.5 999.0 99.0
98 01 05 02  10  3.1  4.0  3.06 20.00  9.59 999 1010.5  23.2  25.5 999.0 99.0
98 01 05 03  36  3.5  5.9  2.68 20.00  9.27 999 1010.7  24.3  25.4 999.0 99.0
98 01 05 04  33  3.1  4.0  2.69 16.67  9.18 999 1011.1  23.9  25.4 999.0 99.0
98 01 05 05   8  3.0  4.1  3.27 16.67 11.13 999 1011.9  23.6  25.3 999.0 99.0
98 01 05 06 340  3.3  4.3  2.85 16.67  9.90 999 1012.6  23.2  25.3 999.0 99.0
98 01 05 07 345  2.4  3.7  3.36 16.67 10.85 999 1013.0  23.2  25.3 999.0 99.0
98 01 05 08  10  1.7  3.0  3.34 16.67 10.77 999 1013.0  23.3  25.3 999.0 99.0
98 01 05 09  30  1.3  2.3  3.40 16.67 11.05 999 1012.9  23.3  25.3 999.0 99.0
98 01 05 10  97  1.8  3.0  3.38 16.67 10.80 999 1012.6  23.3  25.3 999.0 99.0
98 01 05 11 150  1.4  2.2  3.25 16.67 10.70 999 1012.2  23.4  25.3 999.0 99.0
98 01 05 12 197  3.5  4.5  3.08 16.67 10.35 999 1011.5  23.6  25.3 999.0 99.0
98 01 05 13 212  4.1  5.3  3.52 14.29 10.97 999 1011.1  23.7  25.3 999.0 99.0
98 01 05 14 207  4.7  5.7  3.57 14.29 10.69 999 1010.3  23.8  25.3 999.0 99.0
98 01 05 15 184  6.8  8.1  3.51 14.29 10.37 999 1009.5  23.7  25.3 999.0 99.0
98 01 05 16 209  7.0  8.3  3.73 14.29 10.47 999 1009.9  24.1  25.3 999.0 99.0
98 01 05 17 218  7.2  8.9  3.29 14.29  9.42 999 1010.4  24.1  25.3 999.0 99.0
98 01 05 18 228  7.5  9.4  3.30 14.29  8.89 999 1011.1  24.3  25.3 999.0 99.0
98 01 05 19 223  8.5 10.5  3.29 14.29  8.32 999 1011.5  23.9  25.3 999.0 99.0
98 01 05 20 246  8.7 10.1  3.13 14.29  8.05 999 1011.6  24.5  25.3 999.0 99.0
98 01 05 21 255  5.9  7.9  3.12 14.29  7.63 999 1011.5  22.0  25.3 999.0 99.0
98 01 05 22 258  9.0 10.7  3.16 14.29  7.62 999 1010.7  24.4  25.3 999.0 99.0
98 01 05 23 260 10.7 12.2  2.95 14.29  6.79 999 1009.6  24.6  25.3 999.0 99.0
