YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 04 08  10   .0   .9  1.99 12.50  8.71 999 1014.6  23.7  25.5 999.0 99.0
1999 01 04 09 268   .3  1.3  1.79  8.33  7.87 999 1014.8  23.6  25.4 999.0 99.0
1999 01 04 10 298   .4  1.2  1.77  9.09  7.67 999 1014.6  23.5  25.3 999.0 99.0
1999 01 04 11 190   .4  1.5  1.69  9.09  7.44 999 1014.1  23.5  25.4 999.0 99.0
1999 01 04 12  10   .0   .5  1.69 11.11  7.50 999 1013.5  23.3  25.3 999.0 99.0
1999 01 04 13 151  1.2  2.1  1.49 12.50  7.21 999 1013.0  23.5  25.3 999.0 99.0
1999 01 04 14 201  1.3  2.5  1.46 11.11  7.49 999 1012.8  23.5  25.3 999.0 99.0
1999 01 04 15  10   .0   .5  1.51 12.50  7.73 999 1013.0  23.2  25.3 999.0 99.0
1999 01 04 16 188  2.0  3.0  1.39  7.69  7.26 999 1012.9  23.1  25.3 999.0 99.0
1999 01 04 17 176  2.9  4.2  1.36  8.33  7.42 999 1012.8  23.6  25.3 999.0 99.0
1999 01 04 18 180  4.0  5.4  1.36 11.11  7.44 999 1012.8  23.6  25.4 999.0 99.0
1999 01 04 19 182  4.2  5.3  1.29 10.00  7.32 999 1013.3  23.9  25.3 999.0 99.0
1999 01 04 20 183  3.5  4.5  1.22  8.33  6.97 999 1013.7  23.9  25.3 999.0 99.0
1999 01 04 21 184  4.0  4.9  1.26 10.00  7.07 999 1013.5  24.0  25.4 999.0 99.0
1999 01 04 22 200  3.2  4.3  1.23  9.09  6.74 999 1013.3  24.0  25.4 999.0 99.0
1999 01 04 23 205  2.8  4.0  1.23 10.00  6.81 999 1012.2  24.0  25.5 999.0 99.0
1999 01 05 00 218  3.0  4.1  1.16 10.00  6.54 999 1011.5  24.0  25.7 999.0 99.0
1999 01 05 01 215  2.4  3.2  1.12 10.00  6.92 999 1011.1  24.1  25.6 999.0 99.0
1999 01 05 02 228  2.5  3.3  1.13 10.00  7.04 999 1010.8  24.3  25.8 999.0 99.0
1999 01 05 03 230  2.2  2.9  1.07 10.00  7.36 999 1011.3  24.5  25.7 999.0 99.0
1999 01 05 04 215  2.4  3.5  1.06  9.09  7.25 999 1011.8  24.3  25.6 999.0 99.0
1999 01 05 05 207  2.2  3.1  1.07  8.33  7.49 999 1012.1  24.0  25.5 999.0 99.0
1999 01 05 06 230  1.7  2.8  1.01  8.33  7.12 999 1012.9  23.9  25.4 999.0 99.0
1999 01 05 07 306   .1  1.1  1.06  9.09  7.31 999 1013.6  23.8  25.4 999.0 99.0
1999 01 05 08 306   .1  1.1  1.03 12.50  7.30 999 1013.9  23.8  25.4 999.0 99.0
1999 01 05 09 336   .2   .9  1.20  9.09  7.35 999 1014.0  23.7  25.4 999.0 99.0
1999 01 05 10 271  1.3  2.1  1.11  9.09  7.08 999 1013.7  23.9  25.3 999.0 99.0
1999 01 05 11 273  1.3  1.9  1.21  8.33  7.27 999 1013.3  23.9  25.3 999.0 99.0
1999 01 05 12 244  1.4  1.9  1.11  8.33  6.87 999 1012.4  23.7  25.3 999.0 99.0
1999 01 05 13 223  1.6  2.5  1.16  8.33  7.12 999 1011.9  23.6  25.3 999.0 99.0
1999 01 05 14 197  2.0  2.9  1.21  9.09  7.36 999 1011.7  23.5  25.4 999.0 99.0
1999 01 05 15 204  2.2  3.1  1.12  8.33  7.19 999 1011.8  23.6  25.4 999.0 99.0
1999 01 05 16 229  2.0  2.7  1.18  8.33  7.48 999 1012.1  23.4  25.4 999.0 99.0
1999 01 05 17 212  2.4  3.3  1.18  9.09  7.51 999 1012.5  23.5  25.4 999.0 99.0
1999 01 05 18 218  2.1  3.3  1.14  8.33  7.13 999 1013.1  23.7  25.4 999.0 99.0
1999 01 05 19 190  2.1  3.0  1.22 14.29  7.53 999 1013.6  24.1  25.4 999.0 99.0
1999 01 05 20 173  2.5  3.7  1.20  8.33  7.21 999 1014.0  24.2  25.4 999.0 99.0
1999 01 05 21 174  3.3  4.7  1.19  8.33  7.37 999 1013.6  24.0  25.5 999.0 99.0
1999 01 05 22 192  3.4  4.3  1.17 12.50  7.23 999 1013.2  24.0  25.5 999.0 99.0
1999 01 05 23 190  3.8  4.7  1.10 12.50  7.13 999 1012.2  23.7  25.6 999.0 99.0
1999 01 06 00 186  3.8  4.6  1.13  8.33  7.12 999 1011.5  24.0  25.6 999.0 99.0
1999 01 06 01 183  3.6  4.7  1.14 12.50  7.25 999 1011.2  24.0  25.7 999.0 99.0
1999 01 06 02 195  3.5  4.4  1.16 12.50  7.12 999 1011.4  24.1  25.6 999.0 99.0
1999 01 06 03 187  3.1  3.8  1.16  9.09  7.12 999 1011.7  24.4  25.5 999.0 99.0
1999 01 06 04 178  3.3  4.3  1.08  8.33  7.21 999 1012.5  24.2  25.5 999.0 99.0
1999 01 06 05 162  2.7  3.6  1.04  9.09  7.25 999 1013.0  23.8  25.4 999.0 99.0
1999 01 06 06 141  2.6  3.8  1.11 12.50  7.93 999 1013.6  23.9  25.4 999.0 99.0
1999 01 06 07 136  2.8  4.0  1.10 11.11  7.75 999 1014.2  24.0  25.4 999.0 99.0
1999 01 06 08 143  3.2  4.3  1.08 12.50  7.50 999 1014.6  23.8  25.4 999.0 99.0
