#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 04 00 00  68  8.7 11.2  3.01  7.69  6.28 999 1015.9 999.0  25.5 999.0 99.0 99.00
2008 01 04 01 00  73  9.8 11.5  2.94  7.69  6.27 999 1015.5 999.0  25.5 999.0 99.0 99.00
2008 01 04 02 00  69  9.1 10.8  2.83  7.69  6.11 999 1015.4 999.0  25.5 999.0 99.0 99.00
2008 01 04 03 00  74  7.9  9.5  2.84  9.09  6.37 999 1015.7 999.0  25.4 999.0 99.0 99.00
2008 01 04 04 00  68  8.0  9.6  3.14  7.69  6.50 999 1016.0 999.0  25.4 999.0 99.0 99.00
2008 01 04 05 00  74  7.9  9.5  2.84  9.09  6.49 999 1016.6 999.0  25.4 999.0 99.0 99.00
2008 01 04 06 00  74  8.7 10.2  2.95  9.09  6.49 999 1017.2 999.0  25.4 999.0 99.0 99.00
2008 01 04 07 00  77  8.7 10.0  2.78  7.69  6.41 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 01 04 08 00  74  8.1  9.6  2.77  9.09  6.34 999 1018.2 999.0  25.4 999.0 99.0 99.00
2008 01 04 09 00  76  8.5 10.0  2.86  8.33  6.39 999 1018.5 999.0  25.4 999.0 99.0 99.00
2008 01 04 10 00  77  8.1 10.1  2.65  8.33  6.45 999 1018.2 999.0  25.4 999.0 99.0 99.00
2008 01 04 11 00  61  7.7  9.1  2.78  7.69  6.26 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 01 04 12 00  64  8.4  9.8  2.60  7.69  6.23 999 1017.5 999.0  25.4 999.0 99.0 99.00
2008 01 04 13 00  64  7.3  9.0  2.75  8.33  6.18 999 1016.9 999.0  25.4 999.0 99.0 99.00
2008 01 04 14 00  64  7.8  9.2  2.61  6.67  6.19 999 1016.4 999.0  25.4 999.0 99.0 99.00
2008 01 04 15 00  79  8.6 10.6  2.49  7.69  6.22 999 1016.5 999.0  25.4 999.0 99.0 99.00
2008 01 04 16 00  83  7.9  9.4  2.52  9.09  6.14 999 1016.8 999.0  25.4 999.0 99.0 99.00
2008 01 04 17 00  74  8.2  9.6  2.69  8.33  6.27 999 1017.5 999.0  25.4 999.0 99.0 99.00
2008 01 04 18 00  75  7.8  9.7  2.74  8.33  6.41 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 01 04 19 00  76  9.4 11.1  2.94  8.33  6.48 999 1018.2 999.0  25.4 999.0 99.0 99.00
2008 01 04 20 00  84 10.2 12.0  2.78  7.69  6.10 999 1018.5 999.0  25.5 999.0 99.0 99.00
2008 01 04 21 00  79  9.5 11.1  2.79  8.33  6.22 999 1018.6 999.0  25.5 999.0 99.0 99.00
2008 01 04 22 00  82  8.6 10.2  2.78 13.79  6.32 999 1018.2 999.0  25.5 999.0 99.0 99.00
2008 01 04 23 00  90  8.6 10.2  2.91  8.33  6.37 999 1017.1 999.0  25.5 999.0 99.0 99.00
2008 01 05 00 00  88  8.8 10.4  2.71  9.09  6.16 999 1016.5 999.0  25.5 999.0 99.0 99.00
2008 01 05 01 00  87  7.7  9.2  2.88  9.09  6.48 999 1016.5 999.0  25.5 999.0 99.0 99.00
2008 01 05 02 00  85  7.4  8.4  2.94  8.33  6.63 999 1016.5 999.0  25.5 999.0 99.0 99.00
2008 01 05 03 00  86  7.2  8.7  2.85  9.09  6.49 999 1016.6 999.0  25.5 999.0 99.0 99.00
2008 01 05 04 00  76  7.9  9.4  2.57  8.33  6.37 999 1017.0 999.0  25.5 999.0 99.0 99.00
2008 01 05 05 00  72  8.5 10.0  2.64  8.33  6.31 999 1017.4 999.0  25.5 999.0 99.0 99.00
2008 01 05 06 00  73  7.0  8.3  2.48  9.09  6.25 999 1018.3 999.0  25.5 999.0 99.0 99.00
2008 01 05 07 00  78  7.3  8.4  2.63  8.33  6.61 999 1018.7 999.0  25.4 999.0 99.0 99.00
2008 01 05 08 00  80  7.7  9.0  2.50 12.90  6.38 999 1018.7 999.0  25.4 999.0 99.0 99.00
